yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
188709,5.38,0.2425,0.3525,,,,,,,,,0.004325,0.045074,0.044495,0.06552,0.687943,,,,,,,,0.001995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188710,5.2,0.245,0.355,,,,,,,,,0.004761,0.047115,0.045539,0.068269,0.690141,,,,,,,,0.002955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188711,5.3,0.2475,0.3575,,,,,,,,,0.004348,0.046698,0.047596,0.067453,0.692308,,,,,,,,0.001608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188712,5.27,0.25,0.36,,,,,,,,,0.003883,0.047438,0.04717,0.068311,0.694444,,,,,,,,0.001013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188801,5.31,0.2483,0.3517,,,,,,,,,0.004067,0.046761,0.047116,0.066234,0.705999,,,,,,,,0.000582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188802,5.28,0.2467,0.3433,,,,,,,,,0.003772,0.046723,0.04646,0.065019,0.718613,,,,,,,,0.000444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188803,5.08,0.245,0.335,,,,,,,,,0.003219,0.048228,0.046402,0.065945,0.731343,,,,,,,,0.001329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188804,5.1,0.2433,0.3267,,,,,,,,,0.003492,0.047706,0.047894,0.064059,0.74472,,,,,,,,0.001459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188805,5.17,0.2417,0.3183,,,,,,,,,0.003624,0.04675,0.047392,0.061567,0.759347,,,,,,,,0.001082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188806,5.01,0.24,0.31,,,,,,,,,0.003196,0.047904,0.046422,0.061876,0.774194,,,,,,,,0.00077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188807,5.14,0.2383,0.3017,,,,,,,,,0.002776,0.046362,0.047565,0.058696,0.789857,,,,,,,,0.001925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188808,5.25,0.2367,0.2933,,,,,,,,,0.00265,0.045086,0.046051,0.055867,0.807024,,,,,,,,0.000898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188809,5.38,0.235,0.285,,,,,,,,,0.002857,0.04368,0.044762,0.052974,0.824561,,,,,,,,0.001264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188810,5.35,0.2333,0.2767,,,,,,,,,0.003536,0.043607,0.043364,0.05172,0.843151,,,,,,,,0.000708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188811,5.24,0.2317,0.2683,,,,,,,,,0.003381,0.044218,0.043308,0.051202,0.863586,,,,,,,,0.000936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188812,5.14,0.23,0.26,,,,,,,,,0.003145,0.044747,0.043893,0.050584,0.884615,,,,,,,,0.001453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188901,5.24,0.2292,0.2633,,,,,,,,,0.003307,0.04374,0.044591,0.050248,0.87049,,,,,,,,0.000468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188902,5.3,0.2283,0.2667,,,,,,,,,0.003071,0.043075,0.043569,0.050321,0.856018,,,,,,,,0.000398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188903,5.19,0.2275,0.27,,,,,,,,,0.002776,0.043834,0.042925,0.052023,0.842593,,,,,,,,0.000833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188904,5.18,0.2267,0.2733,,,,,,,,,0.00296,0.043764,0.04368,0.052761,0.829491,,,,,,,,0.000427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188905,5.32,0.2258,0.2767,,,,,,,,,0.002805,0.042444,0.043591,0.052011,0.816046,,,,,,,,0.000356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188906,5.41,0.225,0.28,,,,,,,,,0.002481,0.04159,0.042293,0.051756,0.803571,,,,,,,,0.000247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188907,5.3,0.2242,0.2833,,,,,,,,,0.002503,0.042302,0.041442,0.053453,0.791387,,,,,,,,0.000796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188908,5.37,0.2233,0.2867,,,,,,,,,0.002886,0.041583,0.042132,0.053389,0.778863,,,,,,,,0.000536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188909,5.5,0.2225,0.29,,,,,,,,,0.003447,0.040455,0.041434,0.052727,0.767241,,,,,,,,0.000437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188910,5.4,0.2217,0.2933,,,,,,,,,0.003536,0.041056,0.040309,0.054315,0.755881,,,,,,,,0.000822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188911,5.35,0.2208,0.2967,,,,,,,,,0.004067,0.041271,0.040889,0.055458,0.744186,,,,,,,,0.000828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188912,5.32,0.22,0.3,,,,,,,,,0.004067,0.041353,0.041121,0.056391,0.733333,,,,,,,,0.000726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189001,5.38,0.22,0.2992,,,,,,,,,0.004134,0.040892,0.041353,0.055613,0.735294,,,,,,,,0.000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
